AuthorIDs,Feminine (non-Masculine),Sinistral (non-Dextral),"High fluency, neatness and quality (Feminine)",Hand printing (Feminine),Bubblier / Curvier / Circular writing (Feminine),Uniform slant (Feminine),Mannerisms (Feminine),"Low fluency, neatness and quality (Masculine)",Slant heavier than 70 degrees (Masculine),Angular writing (Masculine),Dashed i (Masculine),Higher pressure / shading / jabbing (Masculine),"Writing smaller than 1,5 mm (Masculine)","Writing larger than 4,0 mm (Masculine)",Right to left horizontal lines (Sinistral),Circular forms executed clockwise (Sinistral),Vertical or backhand slant (Sinistral),Alternate slant (Sinistral),Terminal strokes upwards and to the left (Sinistral),Heavier pressure on up-strokes than down-strokes (Sinistral)
cvl-0001,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0
cvl-0002,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
cvl-0003,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
cvl-0004,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cvl-0005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cvl-0006,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0
cvl-0012,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
cvl-0013,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
cvl-0014,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
cvl-0015,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0
cvl-0016,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
cvl-0017,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
cvl-0018,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
cvl-0020,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
