,category-01,category-02,category-03,category-04,feature-01,feature-02,feature-03,feature-04,feature-05,feature-06,feature-07,feature-08,feature-09,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,feature-22,feature-23,feature-24,feature-25,feature-26,feature-27,feature-28,feature-29,feature-30,feature-31,feature-32,feature-33,feature-34,feature-35,feature-36,feature-37,feature-38,feature-39,feature-40,feature-41,feature-42,feature-43,feature-44,feature-45,feature-46,feature-47,feature-48,feature-49,feature-50,feature-51,feature-52,feature-53,feature-54,feature-55,feature-56,feature-57,feature-58,feature-59,feature-60,feature-61,feature-62,feature-63,feature-64,feature-65,feature-66,feature-67,feature-68,feature-69,feature-70,feature-71,feature-72,feature-73,feature-74,feature-75,feature-76,feature-77,feature-78,feature-79,feature-80
Authors IDs,Feminine,Masculine,Sinistral,Dextral,High fluency (Feminine),Moderate fluency,Low fluency (Masculine),Cursive writing,Script writing,Hand printing (Feminine),Circular writing shape (Feminine),Oval writing shape,Angular writing shape (Masculine) ,Arched intraword connections,Garlanded intraword connections,Angular intraword connections (Masculine),Contact intraword connections,Disconnected intraword letters,Writing line continuous at strokes level,Writing line continuous at letters level,Writing line continuous at syllables level,Writing line continuous at words level,Parallel lines of writing,Divergent lines of writing,Convergent lines of writing,Irregular line parallelism,Straight baseline,Broken baseline,Waved baseline,Arched baseline,Garlanded baseline,Baseline ascending,Baseline horizontal,Baseline descending,Backhand slant (Sinistral),Vertical slant (Sinistral),Moderate forehand slant,Heavy forehand slant (Masculine),Uniform degree slant (Feminine),Varying degree slant,Alternating slant (Sinistral),Small writing size (Masculine),Moderate writing size,Large writing size  (Masculine),Small interline spacing,Moderate interline spacing,Large interline spacing,Small interword spacing,Moderate interword spacing,Large interword spacing,Small intraword spacing,Moderate intraword spacing,Large intraword spacing,Supralinear reduced in proportions to linear,Supralinear proportional to linear,Supralinear enlarged in proportions to linear,Infralinear reduced in proportions to linear,Infralinear proportional to linear,Infralinear enlarged in proportions to linear,Horizontal lines executed right to left (Sinistral),Horizontal lines executed left to right,Vertical lines executed up to down,Vertical lines executed down to up,Circular forms executed clockwise (Sinistral),Circular forms executed anticlockwise,Commencements upwards and to the left,Commencements upwards and to the right,Commencements downwards and to the left,Commencements downwards and to the right,Terminations upwards and to the left (Sinistral),Terminations upwards and to the right,Terminations downwards and to the left,Terminations downwards and to the right,Higher pressure (Masculine),Moderate pressure,Lower pressure,Heavier pressure on up-strokes (Sinistral),Heavier pressure on down-strokes,Heavier pressure on left-strokes,Heavier pressure on right-strokes,Dashed “i” (Masculine),Doted “i” ,Circular “i”,Mannerisms or embellishments (Feminine)
cvl-0001,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0
cvl-0002,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
cvl-0003,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1
cvl-0004,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
cvl-0005,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0
cvl-0006,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
cvl-0012,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
cvl-0013,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
cvl-0014,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1
