epoch,auth_tran_loss,auth_tran_accuracy,auth_tran_auc,auth_val_loss,auth_val_accuracy,auth_val_auc,learning_rate,batchsize,dropout,best
1,4.5888,0.1866,,853.8159,0.0388,,0.001,32,0.25,
2,2.5583,0.3208,,306.7784,0.0243,,,,,
3,2.2202,0.3648,,121.5875,0.0243,,,,,
4,1.9965,0.4361,,77.2283,0.0218,,,,,
5,1.8865,0.5000,,150.4331,0.0243,,,,,
6,1.7362,0.5734,,216.1590,0.0218,,,,,
7,1.7570,0.5514,,48.4962,0.0243,,,,,
8,1.4916,0.5828,,173.8867,0.0218,,,,,
9,1.1886,0.6604,,70.5381,0.0000,,,,,
10,0.9426,0.7222,,117.0820,0.0218,,,,,
11,0.7504,0.7621,,71.0831,0.0364,,,,,
12,0.9920,0.7348,,72.4295,0.0000,,,,,
13,0.5930,0.8134,,136.7976,0.0218,,0.0001,,,
14,0.2922,0.9015,,124.1653,0.0218,,,,,
15,0.2159,0.9329,,115.4008,0.0218,,,,,
16,0.1814,0.9319,,101.5862,0.0218,,,,,
17,0.1593,0.9423,,91.8236,0.0218,,,,,
18,0.1328,0.9623,,83.4714,0.0218,,1E-05,,,
19,0.1276,0.9612,,72.9851,0.0218,,,,,
20,0.1266,0.9665,,60.8421,0.0218,,,,,
21,0.1320,0.9591,,47.2415,0.0218,,,,,
22,0.1197,0.9686,,34.9951,0.0218,,,,,
23,0.1259,0.9665,,24.6442,0.0243,,,,,
24,0.1229,0.9591,,16.4525,0.0534,,,,,
25,0.1123,0.9686,,10.7766,0.1456,,,,,
26,0.1059,0.9738,,7.2151,0.2524,,,,,
27,0.1230,0.9623,,4.7023,0.3568,,,,,
28,0.1111,0.9644,,2.9091,0.5049,,,,,
29,0.1141,0.9675,,1.7658,0.6262,,,,,
30,0.1127,0.9738,,1.0374,0.7282,,,,,
31,0.1129,0.9686,,0.8880,0.7549,,,,,
32,0.0973,0.9769,,0.8223,0.7816,,,,,
33,0.0974,0.9727,,0.6520,0.8204,,,,,
34,0.0913,0.9790,,0.7003,0.8083,,,,,
35,0.0830,0.9843,,0.7544,0.8034,,,,,
36,0.0797,0.9822,,0.6099,0.8277,,,,,
37,0.0655,0.9874,,0.5039,0.8301,,,,,
38,0.0643,0.9906,,0.4377,0.8495,,,,,
39,0.0619,0.9895,,0.4446,0.8641,,,,,
40,0.0551,0.9916,,0.4004,0.8738,,,,,
41,0.0585,0.9906,,0.5007,0.8568,,,,,
42,0.0467,0.9937,,0.4830,0.8617,,,,,
43,0.0424,0.9948,,0.4294,0.8714,,,,,
44,0.0450,0.9927,,0.3950,0.8762,,,,,
45,0.0433,0.9969,,0.4693,0.8689,,,,,
46,0.0421,0.9979,,0.4215,0.8714,,,,,
47,0.0348,0.9979,,0.3881,0.8762,,,,,
48,0.0369,0.9990,,0.4582,0.8641,,,,,
49,0.0336,0.9979,,0.4036,0.8738,,,,,
50,0.0313,0.9990,,0.4655,0.8592,,,,,
51,0.0294,0.9979,,0.4514,0.8592,,,,,
52,0.0238,1.0000,,0.3665,0.8859,,,,,
53,0.0258,0.9979,,0.4336,0.8714,,,,,
54,0.0238,0.9990,,0.4013,0.8859,,,,,
55,0.0234,1.0000,,0.4457,0.8689,,,,,
56,0.0188,1.0000,,0.3600,0.9005,,,,,
57,0.0213,0.9990,,0.3316,0.8956,,,,,
58,0.0192,0.9990,,0.3664,0.9005,,,,,
59,0.0200,1.0000,,0.3821,0.8908,,,,,
60,0.0174,1.0000,,0.3102,0.9053,,,,,
61,0.0175,1.0000,,0.3067,0.9053,,1E-06,,,
62,0.0170,1.0000,1.0000,0.2989,0.9102,0.9904,,,,best
63,0.0186,0.9979,,0.2924,0.9053,,,,,
64,0.0177,0.9990,,0.2939,0.9053,,,,,
65,0.0155,1.0000,,0.2988,0.9078,,,,,
66,0.0149,1.0000,,0.3004,0.9029,,,,,
67,0.0146,1.0000,,0.3025,0.9029,,,,,
68,0.0146,1.0000,,0.3045,0.9029,,,,,
69,0.0150,0.9990,,0.3032,0.9005,,1E-07,,,
70,0.0177,0.9979,,0.3027,0.9005,,,,,
71,0.0156,0.9990,,0.3005,0.9005,,,,,
72,0.0135,1.0000,,0.3000,0.9005,,,,,
73,0.0171,0.9990,,0.2995,0.9005,,,,,
74,0.0138,0.9990,,0.3000,0.9005,,1E-08,,,
75,0.0162,0.9990,,0.2999,0.9005,,,,,
76,0.0163,0.9990,,0.2993,0.9029,,,,,
77,0.0146,1.0000,,0.2986,0.9029,,,,,
78,0.0155,0.9990,,0.2992,0.9005,,,,,
79,0.0158,0.9990,,0.2988,0.9029,,1E-09,,,
80,0.0139,1.0000,,0.2989,0.9029,,,,,
81,0.0149,0.9979,,0.2993,0.9005,,,,,
82,0.0135,1.0000,,0.2995,0.9005,,,,,
83,0.0150,1.0000,,0.2992,0.9029,,,,,
84,0.0176,0.9979,,0.2992,0.9029,,1E-10,,,
85,0.0152,0.9990,,0.3000,0.9005,,,,,
86,0.0153,0.9990,,0.2990,0.9029,,,,,
87,0.0165,0.9990,,0.2996,0.9029,,,,,
88,0.0163,0.9990,,0.3001,0.9053,,,,,
89,0.0143,1.0000,,0.2990,0.9053,,1E-11,,,
90,0.0152,0.9990,,0.2987,0.9053,,,,,
