epoch,tran_accuracy,tran_loss,val_accuracy,val_loss,learning_rate,batchsize,dropout,best
1,0.1866,4.5888,0.0388,853.8159,0.001,32,0.25,
2,0.3208,2.5583,0.0243,306.7784,,,,
3,0.3648,2.2202,0.0243,121.5875,,,,
4,0.4361,1.9965,0.0218,77.2283,,,,
5,0.5,1.8865,0.0243,150.4331,,,,
6,0.5734,1.7362,0.0218,216.159,,,,
7,0.5514,1.757,0.0243,48.4962,,,,
8,0.5828,1.4916,0.0218,173.8867,,,,
9,0.6604,1.1886,0,70.5381,,,,
10,0.7222,0.9426,0.0218,117.082,,,,
11,0.7621,0.7504,0.0364,71.0831,,,,
12,0.7348,0.992,0,72.4295,,,,
13,0.8134,0.593,0.0218,136.7976,0.0001,,,
14,0.9015,0.2922,0.0218,124.1653,,,,
15,0.9329,0.2159,0.0218,115.4008,,,,
16,0.9319,0.1814,0.0218,101.5862,,,,
17,0.9423,0.1593,0.0218,91.8236,,,,
18,0.9623,0.1328,0.0218,83.4714,1E-05,,,
19,0.9612,0.1276,0.0218,72.9851,,,,
20,0.9665,0.1266,0.0218,60.8421,,,,
21,0.9591,0.132,0.0218,47.2415,,,,
22,0.9686,0.1197,0.0218,34.9951,,,,
23,0.9665,0.1259,0.0243,24.6442,,,,
24,0.9591,0.1229,0.0534,16.4525,,,,
25,0.9686,0.1123,0.1456,10.7766,,,,
26,0.9738,0.1059,0.2524,7.2151,,,,
27,0.9623,0.123,0.3568,4.7023,,,,
28,0.9644,0.1111,0.5049,2.9091,,,,
29,0.9675,0.1141,0.6262,1.7658,,,,
30,0.9738,0.1127,0.7282,1.0374,,,,
31,0.9686,0.1129,0.7549,0.8880,,,,
32,0.9769,0.0973,0.7816,0.8223,,,,
33,0.9727,0.0974,0.8204,0.6520,,,,
34,0.9790,0.0913,0.8083,0.7003,,,,
35,0.9843,0.0830,0.8034,0.7544,,,,
36,0.9822,0.0797,0.8277,0.6099,,,,
37,0.9874,0.0655,0.8301,0.5039,,,,
38,0.9906,0.0643,0.8495,0.4377,,,,
39,0.9895,0.0619,0.8641,0.4446,,,,
40,0.9916,0.0551,0.8738,0.4004,,,,
41,0.9906,0.0585,0.8568,0.5007,,,,
42,0.9937,0.0467,0.8617,0.4830,,,,
43,0.9948,0.0424,0.8714,0.4294,,,,
44,0.9927,0.0450,0.8762,0.3950,,,,
45,0.9969,0.0433,0.8689,0.4693,,,,
46,0.9979,0.0421,0.8714,0.4215,,,,
47,0.9979,0.0348,0.8762,0.3881,,,,
48,0.9990,0.0369,0.8641,0.4582,,,,
49,0.9979,0.0336,0.8738,0.4036,,,,
50,0.9990,0.0313,0.8592,0.4655,,,,
51,0.9979,0.0294,0.8592,0.4514,,,,
52,1.0000,0.0238,0.8859,0.3665,,,,
53,0.9979,0.0258,0.8714,0.4336,,,,
54,0.9990,0.0238,0.8859,0.4013,,,,
55,1.0000,0.0234,0.8689,0.4457,,,,
56,1.0000,0.0188,0.9005,0.3600,,,,
57,0.9990,0.0213,0.8956,0.3316,,,,
58,0.9990,0.0192,0.9005,0.3664,,,,
59,1.0000,0.0200,0.8908,0.3821,,,,
60,1.0000,0.0174,0.9053,0.3102,,,,
61,1.0000,0.0175,0.9053,0.3067,1E-06,,,
62,1.0000,0.0170,0.9102,0.2989,,,,best
63,0.9979,0.0186,0.9053,0.2924,,,,
64,0.9990,0.0177,0.9053,0.2939,,,,
65,1.0000,0.0155,0.9078,0.2988,,,,
66,1.0000,0.0149,0.9029,0.3004,,,,
67,1.0000,0.0146,0.9029,0.3025,,,,
68,1.0000,0.0146,0.9029,0.3045,,,,
69,0.9990,0.0150,0.9005,0.3032,1E-07,,,
70,0.9979,0.0177,0.9005,0.3027,,,,
71,0.9990,0.0156,0.9005,0.3005,,,,
72,1.0000,0.0135,0.9005,0.3000,,,,
73,0.9990,0.0171,0.9005,0.2995,,,,
74,0.9990,0.0138,0.9005,0.3000,1E-08,,,
75,0.9990,0.0162,0.9005,0.2999,,,,
76,0.9990,0.0163,0.9029,0.2993,,,,
77,1.0000,0.0146,0.9029,0.2986,,,,
78,0.9990,0.0155,0.9005,0.2992,,,,
79,0.9990,0.0158,0.9029,0.2988,1E-09,,,
80,1.0000,0.0139,0.9029,0.2989,,,,
81,0.9979,0.0149,0.9005,0.2993,,,,
82,1.0000,0.0135,0.9005,0.2995,,,,
83,1.0000,0.0150,0.9029,0.2992,,,,
84,0.9979,0.0176,0.9029,0.2992,1E-10,,,
85,0.9990,0.0152,0.9005,0.3000,,,,
86,0.9990,0.0153,0.9029,0.2990,,,,
87,0.9990,0.0165,0.9029,0.2996,,,,
88,0.9990,0.0163,0.9053,0.3001,,,,
89,1.0000,0.0143,0.9053,0.2990,1E-11,,,
90,0.9990,0.0152,0.9053,0.2987,,,,
