epoch,tran_accuracy,tran_loss,val_accuracy,val_loss,learning rate,batchsize,dropout,best
1,0.0743,4.5692,0.0339,14.4117,0.001,32,0,
2,0.1452,3.9699,0.0339,6.4962,,,,
3,0.1881,3.5345,0.0339,6.8493,,,,
4,0.2291,3.2264,0.0339,5.9413,,,,
5,0.2667,3.0159,0.0162,5.6183,,,,
6,0.3069,2.7675,0.0545,5.6726,,,,
7,0.3513,2.5643,0.0412,7.5597,,,,
8,0.3674,2.4482,0.0501,6.9179,,,,
9,0.4088,2.2422,0.1811,3.8225,,,,
10,0.4192,2.1588,0.0368,8.4965,,,,
11,0.4632,1.9722,0.0913,5.6915,,,,
12,0.4770,1.8708,0.2769,3.3450,,,,
13,0.4920,1.8115,0.0928,7.4355,,,,
14,0.5356,1.6650,0.1281,5.5471,,,,
15,0.5579,1.5837,0.1826,3.8978,,,,
16,0.5678,1.4993,0.1001,5.7858,,,,
17,0.5977,1.3929,0.0486,7.0024,,,,
18,0.6831,1.1601,0.5552,1.7242,0.0001,,,
19,0.7134,1.0844,0.6009,1.5266,,,,
20,0.7276,1.0514,0.5567,1.6639,,,,
21,0.7314,1.0309,0.5538,1.7527,,,,
22,0.7448,1.0055,0.5685,1.6615,,,,
23,0.7494,0.9839,0.5832,1.6122,,,,
24,0.7571,0.9657,0.6082,1.5684,,,,
25,0.7739,0.9332,0.6760,1.3645,1E-05,,,
26,0.7743,0.9250,0.6863,1.3418,,,,
27,0.7789,0.9217,0.6804,1.3343,,,,
28,0.7797,0.9196,0.6819,1.3288,,,,
29,0.7820,0.9164,0.6863,1.3271,,,,
30,0.7812,0.9141,0.6878,1.3274,,,,
31,0.7828,0.9113,0.6804,1.3258,,,,
32,0.7824,0.9089,0.6878,1.3259,,,,
33,0.7835,0.9065,0.6863,1.3259,,,,
34,0.7843,0.9044,0.6937,1.3255,,,,
35,0.7866,0.8997,0.6922,1.3206,1E-06,,,
36,0.7854,0.8990,0.6922,1.3199,,,,
37,0.7854,0.8987,0.6922,1.3188,,,,
38,0.7874,0.8982,0.6907,1.3185,,,,
39,0.7874,0.8979,0.6922,1.3187,,,,
40,0.7870,0.8975,0.6937,1.3182,,,,
41,0.7870,0.8972,0.6937,1.3183,,,,
42,0.7870,0.8968,0.6937,1.3179,,,,
43,0.7866,0.8965,0.6907,1.3186,,,,
44,0.7877,0.8961,0.6907,1.3181,,,,
45,0.7874,0.8957,0.6922,1.3183,,,,
46,0.7877,0.8953,0.6907,1.3182,,,,
47,0.7870,0.8950,0.6907,1.3181,,,,
48,0.7881,0.8942,0.6937,1.3177,1E-07,,,
49,0.7881,0.8942,0.6951,1.3174,,,,
50,0.7881,0.8941,0.6937,1.3170,,,,
51,0.7881,0.8941,0.6966,1.3175,,,,best
52,0.7881,0.8940,0.6966,1.3177,,,,
53,0.7881,0.8940,0.6937,1.3176,,,,
54,0.7881,0.8940,0.6937,1.3168,,,,
55,0.7881,0.8939,0.6951,1.3167,,,,
56,0.7881,0.8939,0.6951,1.3165,,,,
57,0.7881,0.8939,0.6937,1.3173,,,,
58,0.7881,0.8938,0.6951,1.3170,,,,
59,0.7881,0.8938,0.6966,1.3168,,,,
60,0.7881,0.8938,0.6951,1.3165,,,,
