epoch,auth_tran_loss,auth_tran_acc,auth_tran_auc,auth_val_loss,auth_val_acc,auth_val_auc,learning_rate,batchsize,dropout,best
1,2.6401,0.2379,0.8118,4.2031,0.0388,0.4799,0.001,32,0.1,
2,1.8268,0.3899,0.9295,4.2608,0.0388,0.4770,,,,
3,1.5106,0.4948,0.9535,4.6411,0.0388,0.4714,,,,
4,1.3139,0.5650,0.9636,4.7368,0.0388,0.4812,,,,
5,0.9707,0.6960,0.9826,5.0264,0.0388,0.4760,,,,
6,0.8539,0.7086,0.9864,5.2617,0.0388,0.4790,0.0001,,,
7,0.5811,0.8386,0.9947,5.3472,0.0388,0.4825,,,,
8,0.4256,0.8962,0.9971,5.4009,0.0243,0.4752,,,,
9,0.3450,0.9224,0.9988,5.4287,0.0243,0.4776,,,,
10,0.3190,0.9256,0.9991,5.2365,0.0243,0.4663,,,,
11,0.2811,0.9434,0.9992,5.0875,0.0000,0.4805,,,,
12,0.2488,0.9570,0.9996,5.2777,0.0000,0.4687,1E-05,,,
13,0.2415,0.9549,0.9996,5.6532,0.0073,0.4830,,,,
14,0.2416,0.9570,0.9997,6.0049,0.0218,0.4996,,,,
15,0.2293,0.9612,0.9998,6.1589,0.0218,0.4915,,,,
16,0.2230,0.9654,0.9997,6.1854,0.0218,0.4904,,,,
17,0.2314,0.9644,0.9997,6.1996,0.0218,0.4887,1E-06,,,
18,0.2281,0.9591,0.9997,6.2086,0.0218,0.4864,,,,
19,0.2309,0.9654,0.9997,6.2402,0.0218,0.4791,,,,
20,0.2204,0.9706,0.9998,6.3120,0.0243,0.4829,,,,
21,0.2288,0.9675,0.9997,6.4380,0.0316,0.4927,,,,
22,0.2216,0.9696,0.9998,6.4692,0.0388,0.4884,1E-07,,,
23,0.2211,0.9696,0.9998,6.3148,0.0388,0.4981,,,,
24,0.2281,0.9654,0.9997,5.8168,0.0388,0.5414,,,,
25,0.2293,0.9633,0.9997,4.8664,0.0995,0.6271,,,,
26,0.2289,0.9633,0.9997,3.6342,0.2063,0.7541,,,,
27,0.2222,0.9717,0.9998,2.5692,0.3568,0.8602,,,,
28,0.2264,0.9633,0.9997,1.7500,0.5413,0.9250,,,,
29,0.2232,0.9675,0.9998,1.1529,0.6723,0.9633,,,,
30,0.2221,0.9727,0.9998,0.7961,0.7694,0.9813,,,,
31,0.2198,0.9675,0.9998,0.5938,0.8155,0.9886,,,,
32,0.2277,0.9633,0.9998,0.4810,0.8519,0.9933,,,,
33,0.2262,0.9644,0.9998,0.4261,0.8617,0.9965,,,,
34,0.2228,0.9633,0.9998,0.3989,0.8835,0.9971,,,,
35,0.2277,0.9665,0.9997,0.3843,0.8956,0.9974,,,,
36,0.2274,0.9623,0.9998,0.3748,0.8981,0.9976,,,,
37,0.2255,0.9665,0.9998,0.3695,0.9005,0.9977,,,,best
38,0.2214,0.9759,0.9998,0.3670,0.8981,0.9977,,,,
39,0.2238,0.9686,0.9997,0.3660,0.8981,0.9977,,,,
40,0.2238,0.9675,0.9998,0.3651,0.8956,0.9977,,,,
41,0.2177,0.9738,0.9998,0.3649,0.8956,0.9977,,,,
42,0.2254,0.9644,0.9998,0.3650,0.8956,0.9977,,,,
43,0.2285,0.9675,0.9997,0.3648,0.8956,0.9977,,,,
44,0.2319,0.9654,0.9996,0.3648,0.8956,0.9977,,,,
45,0.2280,0.9581,0.9998,0.3649,0.8956,0.9977,,,,
46,0.2239,0.9654,0.9998,0.3649,0.8956,0.9977,,,,
47,0.2177,0.9717,0.9998,0.3648,0.8981,0.9977,,,,
48,0.2204,0.9665,0.9997,0.3647,0.8981,0.9977,,,,
49,0.2242,0.9623,0.9998,0.3644,0.8981,0.9978,1E-08,,,
50,0.2239,0.9706,0.9997,0.3645,0.8981,0.9977,,,,
51,0.2252,0.9686,0.9997,0.3646,0.8981,0.9977,,,,
52,0.2192,0.9696,0.9998,0.3646,0.8981,0.9977,,,,
53,0.2257,0.9706,0.9997,0.3644,0.8981,0.9978,,,,
