epoch,auth_tran_loss,auth_tran_acc,auth_tran_auc,auth_val_loss,auth_val_acc,auth_val_auc,feat_tran_loss,feat_tran_acc,feat_tran_auc,feat_val_loss,feat_val_acc,feat_val_auc,learning_rate,batchsize,dropout,best
1,4.5095,0.1971,0.7338,387.4677,0.0243,0.4943,0.7606,0.5489,0.5725,20.3764,0.5201,0.5327,0.001,32,0.1,
2,2.4017,0.3071,0.8798,265.9199,0.0243,0.4934,0.6768,0.6191,0.6636,11.3972,0.5392,0.5496,,,,
3,2.1196,0.4277,0.9098,216.6012,0.0218,0.4921,0.6407,0.6704,0.7197,6.2134,0.5180,0.5300,,,,
4,1.6210,0.5105,0.9426,214.8897,0.0218,0.4921,0.5789,0.7326,0.7858,5.2382,0.5775,0.5845,,,,
5,1.5696,0.5461,0.9447,120.3563,0.0218,0.4921,0.5237,0.7805,0.8321,3.4477,0.4765,0.4850,,,,
6,1.4536,0.5692,0.9496,52.7351,0.0218,0.4921,0.4587,0.8176,0.8733,2.1403,0.5617,0.5522,,,,
7,1.4156,0.6184,0.9484,97.1340,0.0218,0.4921,0.4042,0.8443,0.9021,3.0894,0.5469,0.5434,,,,
8,0.9754,0.7034,0.9727,221.8851,0.0218,0.4921,0.3380,0.8680,0.9315,6.6696,0.4751,0.5219,,,,
9,0.8035,0.7558,0.9784,57.6227,0.0218,0.4921,0.2848,0.8885,0.9512,2.4723,0.6236,0.5654,,,,
10,1.1739,0.6981,0.9595,84.8373,0.0218,0.4921,0.2785,0.8865,0.9513,3.6002,0.6172,0.6028,,,,
11,0.9640,0.7358,0.9682,125.4451,0.0218,0.4921,0.2671,0.8918,0.9551,4.3395,0.6853,0.6738,,,,
12,0.5534,0.8480,0.9871,101.9732,0.0218,0.4921,0.2219,0.9136,0.9707,3.4460,0.7330,0.6885,0.0001,,,
13,0.2184,0.9329,0.9975,97.3394,0.0218,0.4921,0.1925,0.9271,0.9807,2.9407,0.7280,0.6816,,,,
14,0.1625,0.9549,0.9985,86.0683,0.0218,0.4921,0.1857,0.9310,0.9826,2.7133,0.7307,0.6686,,,,
15,0.1229,0.9675,0.9998,79.0797,0.0218,0.4921,0.1799,0.9348,0.9840,2.4918,0.7314,0.6619,,,,
16,0.1019,0.9769,0.9999,74.0785,0.0218,0.4921,0.1765,0.9359,0.9847,2.3420,0.7293,0.6798,,,,
17,0.0877,0.9832,0.9999,66.8907,0.0291,0.4979,0.1719,0.9382,0.9858,2.1106,0.7240,0.6870,1E-05,,,
18,0.0867,0.9843,1.0000,59.8240,0.0388,0.5015,0.1709,0.9379,0.9861,1.8825,0.7165,0.6951,,,,
19,0.0894,0.9822,0.9999,52.9420,0.0413,0.5008,0.1699,0.9394,0.9863,1.6974,0.7139,0.7030,,,,
20,0.0855,0.9832,1.0000,46.0596,0.0413,0.4993,0.1705,0.9381,0.9860,1.5278,0.7134,0.7131,,,,
21,0.0827,0.9822,1.0000,39.3549,0.0413,0.5023,0.1700,0.9387,0.9862,1.3539,0.7127,0.7271,,,,
22,0.0798,0.9895,1.0000,32.7273,0.0510,0.5173,0.1703,0.9385,0.9861,1.1841,0.7134,0.7405,,,,
23,0.0789,0.9885,1.0000,26.0109,0.0728,0.5320,0.1699,0.9390,0.9862,1.0076,0.7226,0.7575,,,,
24,0.0856,0.9822,0.9999,19.6120,0.1019,0.5327,0.1687,0.9387,0.9866,0.8386,0.7373,0.7793,,,,
25,0.0782,0.9864,1.0000,13.9121,0.1238,0.5535,0.1688,0.9397,0.9864,0.6833,0.7583,0.8109,,,,
26,0.0743,0.9906,1.0000,9.2355,0.1553,0.6039,0.1673,0.9399,0.9868,0.5408,0.7820,0.8524,,,,
27,0.0731,0.9853,1.0000,5.4730,0.2451,0.7342,0.1665,0.9403,0.9869,0.4158,0.8169,0.8956,,,,
28,0.0762,0.9864,1.0000,2.9324,0.4782,0.8593,0.1676,0.9404,0.9866,0.3163,0.8568,0.9334,,,,
29,0.0713,0.9885,1.0000,1.6016,0.6456,0.9317,0.1664,0.9406,0.9869,0.2499,0.8896,0.9586,,,,
