epoch,feat_tran_loss,feat_tran_acc,feat_tran_auc,feat_val_loss,feat_val_acc,feat_val_auc,learning_rate,batchsize,dropout,best
1,0.7900,0.6056,0.6254,96.3739,0.5589,0.5451,0.001,32,0.1,
2,0.5200,0.7695,0.8217,14.3953,0.6703,0.6609,,,,
3,0.3749,0.8296,0.9039,2.9023,0.7277,0.7160,,,,
4,0.3316,0.8497,0.9265,1.5035,0.7438,0.7738,,,,
5,0.3308,0.8528,0.9281,7.9294,0.6865,0.6504,,,,
6,0.2959,0.8676,0.9416,3.3388,0.7215,0.6895,,,,
7,0.2658,0.8791,0.9519,1.3382,0.7221,0.7649,,,,
8,0.2386,0.8957,0.9618,1.3197,0.7257,0.7496,,,,
9,0.2230,0.9013,0.9667,2.0069,0.7075,0.7153,,,,
10,0.2179,0.9071,0.9687,1.5777,0.7416,0.7502,,,,
11,0.1992,0.9141,0.9737,3.6640,0.6752,0.6985,,,,
12,0.2264,0.9050,0.9674,2.3687,0.7419,0.7291,,,,
13,0.1739,0.9269,0.9795,2.5597,0.6946,0.6972,,,,
14,0.1179,0.9541,0.9910,1.7377,0.7210,0.7460,0.0001,,,
15,0.0918,0.9662,0.9954,1.3794,0.7261,0.7654,,,,
16,0.0817,0.9721,0.9966,1.5025,0.6970,0.7412,,,,
17,0.0751,0.9751,0.9973,2.0228,0.6831,0.7000,,,,
18,0.0703,0.9769,0.9978,2.1117,0.6864,0.7036,,,,
19,0.0641,0.9806,0.9983,2.0528,0.6928,0.7110,1E-05,,,
20,0.0626,0.9814,0.9984,1.8449,0.7033,0.7282,,,,
21,0.0622,0.9814,0.9984,1.5564,0.7199,0.7529,,,,
22,0.0613,0.9823,0.9985,1.3093,0.7332,0.7781,,,,
23,0.0609,0.9823,0.9985,1.0855,0.7483,0.8082,,,,
24,0.0601,0.9827,0.9986,0.8591,0.7739,0.8460,,,,
25,0.0598,0.9827,0.9986,0.6523,0.8011,0.8841,,,,
26,0.0593,0.9830,0.9986,0.4850,0.8380,0.9169,,,,
27,0.0585,0.9833,0.9987,0.3573,0.8730,0.9422,,,,
28,0.0580,0.9836,0.9987,0.2712,0.9031,0.9604,,,,
29,0.0572,0.9841,0.9987,0.2042,0.9242,0.9740,,,,
30,0.0568,0.9842,0.9988,0.1637,0.9384,0.9817,,,,
31,0.0560,0.9846,0.9988,0.1364,0.9484,0.9866,,,,
32,0.0551,0.9851,0.9989,0.1208,0.9543,0.9893,,,,
33,0.0550,0.9852,0.9989,0.1126,0.9571,0.9907,,,,
34,0.0544,0.9850,0.9989,0.1078,0.9590,0.9914,,,,
35,0.0537,0.9853,0.9990,0.1044,0.9604,0.9918,,,,
36,0.0524,0.9862,0.9991,0.1041,0.9607,0.9918,,,,
37,0.0520,0.9862,0.9990,0.0995,0.9625,0.9924,,,,
38,0.0516,0.9868,0.9991,0.0961,0.9634,0.9929,,,,
39,0.0510,0.9866,0.9991,0.0997,0.9628,0.9924,,,,
40,0.0505,0.9869,0.9991,0.0961,0.9637,0.9928,,,,
41,0.0493,0.9874,0.9992,0.0976,0.9633,0.9926,,,,
42,0.0488,0.9876,0.9992,0.1014,0.9623,0.9920,,,,
43,0.0479,0.9881,0.9992,0.0960,0.9636,0.9929,,,,
44,0.0471,0.9884,0.9993,0.0941,0.9644,0.9931,1E-06,,,
45,0.0470,0.9888,0.9993,0.0936,0.9646,0.9932,,,,
46,0.0472,0.9881,0.9993,0.0929,0.9651,0.9934,,,,
47,0.0470,0.9887,0.9993,0.0928,0.9649,0.9934,,,,
48,0.0466,0.9889,0.9993,0.0922,0.9652,0.9935,,,,
49,0.0464,0.9886,0.9993,0.0926,0.9648,0.9935,,,,
50,0.0468,0.9883,0.9993,0.0921,0.9651,0.9936,,,,
